"rok","hodnota","jednotka","druh_vydaje","slozka_ochrany_zp","dotovana_cinnost"
1997,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1997,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1997,"-10630","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1997,"332690","Kč","kapitálové","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1997,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1997,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1997,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1997,"-178050","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1997,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1997,"0","Kč","kapitálové","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1997,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1997,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1997,"0","Kč","kapitálové","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1997,"0","Kč","kapitálové","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1997,"0","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1997,"5320590","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1997,"0","Kč","kapitálové","Výzkum životního prostředí","Výzkum životního prostředí"
1997,,"Kč","kapitálové","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1997,"310000","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1997,"13240300","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1997,"2607520","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1998,"0","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1998,"0","Kč","běžné ","Ochrana vody","Prevence znečišťování vody"
1998,"0","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1998,"0","Kč","běžné ","Ochrana vody","Úprava drobných vodních toků"
1998,"0","Kč","běžné ","Ochrana ovzduší","Programy zateplování a úspor energie"
1998,,"Kč","běžné ","Ochrana ovzduší","Odstraňování tuhých emisí"
1998,,"Kč","běžné ","Ochrana ovzduší","Odstraňování plynných emisí"
1998,"6978950","Kč","běžné ","Ochrana ovzduší","Změny technologií vytápění"
1998,"870900","Kč","běžné ","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1998,"0","Kč","běžné ","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1998,"1200000","Kč","běžné ","Ochrana ovzduší","Monitoring ochrany ovzduší"
1998,"10247300","Kč","běžné ","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1998,"0","Kč","běžné ","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1998,"0","Kč","běžné ","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Prevence vzniku odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Monitoring nakládání s odpady"
1998,"-1155110","Kč","běžné ","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1998,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Protierozní ochrana"
1998,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1998,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1998,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1998,,"Kč","běžné ","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1998,"47998940","Kč","běžné ","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1998,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1998,"666140","Kč","běžné ","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1998,"20634860","Kč","běžné ","Ochrana biodiverzity a krajiny","Chráněné části přírody"
